blockNum,index,txHash,gas,gasPrice,gasTipCap,gasFeeCap,blockAvgGasTip
14750773,419,0xf6e77283fd75cee82025f7e61bfd97ee8de8ca9660ae635e4f3a271458c8254e,500000,166781319210,2500000000,166781319210,31706148666
14750846,344,0xef68ee2f6b70e76eb7b45093632ec0bc76174770b820e0cebc730c9ee004dcbf,500000,56169461055,56169461055,56169461055,17405072411
14750909,322,0x43dafe5d6837767f4081aa3969e4fdeaa963da7d9b8051b329ecac99ebcb7f27,500000,97473396873,2000000000,97473396873,18584946168
14750955,408,0x06c6fb15701d19f4b9107b4e75fba068ce56871d9f3e4b28fc659e5036d9a226,500000,132284293056,2000000000,132284293056,19987086355
14750973,180,0xbc89f00799b06cff55dac2bc1ee6f9db698b7169538d9acc5b5b1ed413298545,500000,82586847297,2500000000,82586847297,29047095117
14751027,26,0x2319a3b773c5070f0dd1cc56ce4853639d1b686534e79e7594d59bd1f998d7c5,500000,165914854402,2000000000,165914854402,6987469874
14751038,512,0xfa23bdda7415337e06cf9252e238f74a47fdcbec42fc7cc1e37d1953d2e8eae9,400000,80798510386,2000000000,80798510386,22683171100
14751068,246,0x545673c4b5d066d5cad784e6096abe9a9a8b2c8bc10354906dec784d05bc596b,400000,157857125947,2000000000,157857125947,23386084282
14751100,271,0x75ada85f2c644366add66da9fd512b910fbadcbfc92621201849e1c37ea7c48b,400000,112055787702,2000000000,112055787702,25460893200
14751112,207,0x366b68c26a39691f163c5b0ecbbe079a960a2b902ccf50e609672c06090e53d6,500000,152402768194,2424402000,152402768194,18784891226
14751203,124,0x2c321d8cf2e2181454d5c180f566c5682df78701479071bf002b4e35dee5aac0,500000,160961669155,4807832390,160961669155,28280545719
14751290,367,0xe77caf8ca567be408ad1d111abd6c83371712f48b666fb0eaeb89bfaac598427,500000,200895813644,2000000000,200895813644,26563094405
14751298,48,0x2d3dcc81a9d32d28ccaba825d5d6bb3a0169549c9397e7f1e1337cc8da653324,500000,121653495881,121653495881,121653495881,19399962655
14751324,201,0x26b4d022e95f02d88ddf09e1baa4579666ec8c1c1713195891072753efa68541,500000,258090889250,2500000000,258090889250,22725749268
